iter	Passed	Remaining
0	131	131286
1	136	67916
2	140	46722
3	144	35921
4	148	29482
5	151	25169
6	156	22224
7	160	19902
8	167	18408
9	169	16787
10	172	15499
11	177	14599
12	179	13650
13	182	12847
14	184	12129
15	187	11504
16	189	10957
17	192	10476
18	193	9993
19	195	9557
20	196	9181
21	198	8819
22	199	8491
23	201	8190
24	204	7971
25	206	7736
26	208	7505
27	210	7293
28	211	7083
29	213	6887
30	214	6710
31	216	6538
32	218	6412
33	220	6259
34	221	6117
35	223	5985
36	224	5855
37	226	5732
38	227	5615
39	229	5502
40	230	5399
41	233	5331
42	235	5236
43	236	5149
44	238	5062
45	240	4991
46	242	4912
47	243	4834
48	245	4760
49	247	4710
50	249	4642
51	250	4574
52	252	4509
53	253	4445
54	255	4385
55	256	4326
56	258	4269
57	259	4218
58	261	4172
59	263	4125
60	264	4075
61	266	4029
62	267	3983
63	269	3937
64	270	3893
65	272	3851
66	273	3809
67	275	3769
68	278	3756
69	279	3719
70	281	3680
71	282	3643
72	284	3611
73	285	3576
74	287	3542
75	288	3508
76	290	3476
77	292	3461
78	294	3433
79	295	3403
80	297	3373
81	298	3345
82	299	3309
83	301	3282
84	302	3258
85	304	3231
86	305	3208
87	307	3191
88	309	3169
89	311	3146
90	312	3124
91	314	3101
92	315	3078
93	317	3055
94	318	3033
95	320	3015
96	321	2996
97	323	2977
98	325	2958
99	326	2939
100	328	2923
101	330	2906
102	331	2888
103	333	2869
104	335	2859
105	337	2843
106	338	2827
107	340	2810
108	341	2794
109	343	2777
110	344	2761
111	346	2746
112	347	2730
113	349	2716
114	351	2706
115	353	2691
116	354	2674
117	356	2661
118	357	2646
119	358	2631
120	360	2617
121	361	2601
122	362	2587
123	366	2586
124	367	2572
125	369	2560
126	370	2545
127	371	2533
128	373	2521
129	374	2509
130	376	2496
131	377	2484
132	379	2475
133	381	2465
134	382	2454
135	384	2442
136	385	2431
137	387	2419
138	388	2408
139	390	2398
140	392	2388
141	392	2374
142	395	2371
143	397	2361
144	399	2352
145	400	2344
146	402	2335
147	403	2325
148	405	2316
149	407	2307
150	410	2309
151	412	2303
152	415	2297
153	417	2291
154	423	2310
155	428	2318
156	431	2315
157	434	2314
158	449	2377
159	451	2372
160	453	2361
161	454	2353
162	458	2355
163	460	2347
164	462	2339
165	464	2331
166	466	2325
167	467	2316
168	469	2308
169	472	2305
170	474	2300
171	476	2292
172	477	2284
173	479	2276
174	481	2268
175	483	2262
176	486	2262
177	488	2255
178	490	2248
179	491	2239
180	493	2232
181	497	2236
182	501	2240
183	503	2234
184	507	2233
185	509	2230
186	511	2223
187	513	2216
188	516	2217
189	518	2211
190	520	2204
191	522	2197
192	524	2191
193	525	2184
194	529	2186
195	531	2179
196	533	2173
197	534	2166
198	536	2159
199	537	2151
200	539	2143
201	540	2136
202	544	2139
203	546	2132
204	548	2125
205	549	2118
206	551	2114
207	553	2108
208	555	2100
209	556	2093
210	560	2095
211	562	2089
212	563	2083
213	565	2076
214	567	2070
215	569	2066
216	570	2059
217	573	2058
218	575	2053
219	577	2047
220	579	2042
221	581	2036
222	582	2029
223	583	2023
224	585	2016
225	587	2010
